"HGNC_Symbol","logFC","raw_P.value","adj_P.value"
"WDR17",0.664573874725472,0.0145699536166771,0.577471389453634
"FBN2",0.384244538419798,0.0145740857544447,0.577471389453634
"ENKUR",0.484768492646828,0.0145855257924061,0.577471389453634
"SEMA3C",0.417171730480763,0.0145874765222607,0.577471389453634
"ZNF117",0.518951897764834,0.0146552123289425,0.577471389453634
"PLCL1",0.389155954997007,0.014710137729591,0.577471389453634
"APTR",0.483515093287922,0.0147874467282384,0.577471389453634
"ADAM17",0.432881971522199,0.0148534068846743,0.577471389453634
"CNTNAP3P2",1.12226506262196,0.0148618602732108,0.577471389453634
"CCNB3",-0.83802641986086,0.0149889537726186,0.577471389453634
"OAF",-0.348835198185745,0.0150516195977457,0.577471389453634
"LSS",-0.341488664034376,0.015092456239935,0.577471389453634
"PTGS2",0.669923883128182,0.0151013540185577,0.577471389453634
"ANKRD12",0.394251464582148,0.0152538029676933,0.577471389453634
"PPP1R14B",-0.306866290566493,0.0152644929645371,0.577471389453634
"PIKFYVE",0.349557891942059,0.0152999507727127,0.577471389453634
"ZNF429",0.348544504353757,0.01531706207051,0.577471389453634
"CEP295NL",0.937835250972736,0.0153402699125547,0.577471389453634
"UNG",-0.330260096961253,0.0154124728477169,0.577471389453634
"ALDH1B1",-0.390591574447611,0.0154584247287071,0.577471389453634
"ZMYND15",0.555691909174227,0.0155323741233024,0.577471389453634
"EEF1DP3",1.45440847047008,0.0156025738753307,0.577471389453634
"UNKL",0.329463826353271,0.0156948541473858,0.577471389453634
"ERN1",0.392411523479264,0.0157098128403635,0.577471389453634
"KIF1B",0.504038593547626,0.0157668158180371,0.577471389453634
"PDE8B",0.753303198628254,0.0158171735079171,0.577471389453634
"KDM7A",0.459739816909252,0.0158440213296274,0.577471389453634
"MIR4257",0.862480817572017,0.0159041923687862,0.577471389453634
"ABHD13",0.321976543697914,0.0159064732616223,0.577471389453634
"CCSAP",0.406204497874717,0.0159338586269061,0.577471389453634
"FCHO2",0.624755870701603,0.0159374063309702,0.577471389453634
"NUDT9",-0.353834746276577,0.015954522011581,0.577471389453634
"CLEC18B",0.803384938310838,0.0159730403374694,0.577471389453634
"MIB1",0.36349836836202,0.0159891374373533,0.577471389453634
"NCKIPSD",-0.287389439411446,0.0160153811925765,0.577471389453634
"GZMM",-0.427296521366902,0.0160838928268909,0.577471389453634
"AHCTF1",0.513675771985368,0.0161396424749875,0.577471389453634
"RBM47",0.700717067447734,0.016177013793822,0.577471389453634
"RSF1",0.346324456471651,0.0162309825265905,0.577471389453634
"PHTF1",0.430412785702222,0.0162540351273394,0.577471389453634
"PRKDC",0.567215356078266,0.0163115662621117,0.577471389453634
"C5",0.451109999479341,0.0163745130234521,0.577471389453634
"NEAT1",0.501451852589536,0.0163970356404086,0.577471389453634
"ATRX",0.348622634390126,0.0164258875283199,0.577471389453634
"DHCR7",-0.38860737357361,0.0164488640166202,0.577471389453634
"FAM86B3P",0.567303981593676,0.0164644722473927,0.577471389453634
